rank,status,reason,name,website,primary_type,primary_type_raw,business_status,rating,user_rating_count,rental_signal,matched_activities,matched_terms,matched_tiers,matched_modes,geo_zone,aoi_distance_m,review_lane,dedup_note,site_note,possible_duplicate_of,place_id,source_url
21,needs_review,gate5_pre:no_website_field,Truckee Powersports Supply,,Auto Parts Store,auto_parts_store,OPERATIONAL,5,37,true,cycling; gear-shop,bike shop; sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJGyAIrCTem4ARSHXoD3Glbig,https://maps.google.com/?cid=2913447913972069704&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
22,needs_review,gate5_pre:no_website_field,Fallen Leaf Lake Association,,Association / Organization,association_or_organization,OPERATIONAL,4.6,35,true,kayak,kayak rental,core,standard,covered_tile,0,operator,,,,ChIJrZ0a2NKOmYAR1Uv4br5voss,https://maps.google.com/?cid=14673413399622732757&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
23,needs_review,gate3:firearm_business_review,Rightful Liberty Arms,http://rightfullibertyarms.com/,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.7,29,true,gear-shop,sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJg8GBjOdBmYARo-ZoH4j-CYM,https://maps.google.com/?cid=9442357954354931363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
24,needs_review,gate5_pre:no_website_field,Tahoe Blue Adventures,,Services,service,OPERATIONAL,5,2,true,alpine-ski; canoe; kayak; pwc; sup; watersports,canoe rental; jet ski rental; kayak rental; paddleboard rental; personal watercraft rental; ski rental; watersports rental; waverunner rental,core,service-area,service_area_unknown_location,,operator,,,,ChIJscf4VsePmYARJHNiY-Oq0EM,https://maps.google.com/?cid=4886593489298682660&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
25,needs_review,gate5_pre:no_website_field,Lake Tahoe Jetovator,,Services,service,OPERATIONAL,5,2,true,pwc; watersports,personal watercraft rental; watersports rental; waverunner rental,core,service-area,service_area_unknown_location,,operator,,,,ChIJc11BR83gm4ARTePaD-tgusI,https://maps.google.com/?cid=14031634151725785933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
26,needs_review,gate5_pre:no_website_field,Puro Pinche Party Reno,,Services,service,OPERATIONAL,5,2,true,camping,tent rental,core,service-area,service_area_unknown_location,,operator,,,,ChIJsTthxSPA3KARUXSSOqCsm8A,https://maps.google.com/?cid=13878876480849736785&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
27,needs_review,gate5_pre:no_website_field,Reno Tahoe Vintage Rentals,,Services,service,OPERATIONAL,5,2,true,camping,tent rental,core,service-area,service_area_unknown_location,,operator,,,,ChIJE-EVtvU3mYAR5Fb5u4pQ3Ss,https://maps.google.com/?cid=3160771070273345252&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
28,needs_review,gate5_pre:no_website_field,Hope Valley Outdoors,,Camping cabin,camping_cabin,OPERATIONAL,4.8,26,true,alpine-ski; nordic-ski; snow-tube; snowshoe,cross country ski rental; ski rental; sled rental; snowshoe rental,core; experience,standard,covered_tile,0,operator,,,,ChIJ8X4WX_jsmYARZDHIUyU4Gjk,https://maps.google.com/?cid=4114662942526943588&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
29,needs_review,gate5_pre:no_website_field,Bicycle Authority,,Bicycle Shop,bicycle_store,OPERATIONAL,4.8,24,true,cycling; gear-shop; mtb,bike rental; bike shop; mountain bike rental; sporting goods store,core,standard,covered_tile,0,operator,,,,ChIJCXttlL0KmYARYuDYUruR2B4,https://maps.google.com/?cid=2222686649842196578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
30,needs_review,gate5_pre:no_website_field,House Of Arrows Archery,,Sporting Goods Store,sporting_goods_store,OPERATIONAL,4.9,23,true,archery; gear-shop,archery pro shop; archery range; sporting goods store,core; gap,standard,covered_tile,0,operator,,,,ChIJe7OtZ8o4mYARk5kHXSj2LTE,https://maps.google.com/?cid=3543759135030352275&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
